iter	Passed	Remaining
0	148	148036
1	150	75298
2	152	50763
3	154	38477
4	156	31171
5	159	26402
6	161	22922
7	163	20299
8	166	18284
9	168	16656
10	170	15320
11	172	14201
12	175	13294
13	176	12418
14	177	11648
15	178	10980
16	179	10391
17	181	9883
18	182	9440
19	184	9019
20	185	8639
21	186	8275
22	187	7985
23	189	7722
24	191	7477
25	193	7248
26	195	7049
27	197	6839
28	198	6633
29	199	6456
30	202	6317
31	203	6152
32	204	5982
33	204	5819
34	205	5663
35	205	5515
36	206	5376
37	207	5244
38	207	5119
39	208	5001
40	209	4889
41	209	4782
42	210	4683
43	211	4588
44	211	4494
45	212	4402
46	212	4315
47	213	4230
48	213	4149
49	214	4072
50	215	4002
51	215	3931
52	216	3863
53	216	3797
54	217	3733
55	217	3673
56	218	3613
57	218	3555
58	219	3498
59	219	3445
60	220	3393
61	220	3342
62	221	3293
63	221	3246
64	222	3200
65	222	3155
66	223	3111
67	223	3068
68	224	3029
69	225	2989
70	225	2949
71	225	2912
72	226	2876
73	227	2843
74	227	2809
75	228	2775
76	228	2743
77	229	2711
78	230	2684
79	230	2654
80	231	2624
81	231	2595
82	232	2564
83	232	2536
84	233	2511
85	233	2485
86	234	2459
87	234	2433
88	235	2409
89	235	2385
90	236	2361
91	236	2338
92	237	2315
93	237	2293
94	238	2271
95	238	2250
96	239	2230
97	240	2209
98	240	2189
99	241	2169
100	241	2149
101	242	2130
102	242	2112
103	243	2094
104	243	2076
105	244	2060
106	245	2045
107	245	2030
108	246	2014
109	247	1999
110	247	1984
111	248	1970
112	249	1956
113	249	1942
114	250	1930
115	251	1915
116	251	1900
117	252	1885
118	252	1871
119	253	1857
120	253	1844
121	254	1831
122	254	1817
123	255	1804
124	255	1791
125	256	1778
126	256	1765
127	257	1753
128	257	1741
129	258	1731
130	259	1721
131	260	1710
132	260	1698
133	261	1687
134	261	1676
135	262	1665
136	262	1655
137	263	1644
138	263	1633
139	264	1623
140	264	1613
141	265	1601
142	265	1591
143	266	1582
144	266	1572
145	267	1562
146	267	1553
147	268	1543
148	268	1534
149	269	1525
150	269	1516
151	270	1507
152	270	1498
153	271	1490
154	271	1481
155	272	1473
156	273	1466
157	273	1458
158	274	1450
159	274	1442
160	275	1433
161	275	1425
162	276	1417
163	276	1409
164	277	1401
165	277	1394
166	277	1386
167	278	1378
168	278	1371
169	279	1364
170	279	1357
171	280	1350
172	281	1343
